"FECHA CORTE","DEPTORESIDENCIA","CANTIDAD CREDITOS AL DIA","CANTIDAD CREDITOS CON MORA MENOR A 90 DIAS","CANTIDAD CREDITOS MORA MAYOR A 90 DIAS","TOTAL CREDITOS","SALDO CAPITAL","SALDO TOTAL","SALDO MORA","INDICADOR CARTERA VENCIDA","EPOCA CARTERA"
"2024 Dec 31 12:00:00 AM","CAQUETA","634","43","26","703","$ 18,488,130,518","$ 22,039,524,160","$ 63,070,769","6.34%","Estudios"
"2024 Dec 31 12:00:00 AM","QUINDIO","1,222","124","71","1,417","$ 34,721,287,578","$ 42,060,337,721","$ 160,914,307","6.18%","Estudios"
"2024 Dec 31 12:00:00 AM","NARINO","6,361","482","275","7,118","$ 167,131,512,040","$ 196,637,479,503","$ 584,687,443","5.61%","Estudios"
"2024 Dec 31 12:00:00 AM","BOLIVAR","13,929","1,006","681","15,616","$ 399,437,056,063","$ 476,687,324,305","$ 1,535,517,166","5.4%","Estudios"
"2024 Dec 31 12:00:00 AM","CESAR","6,589","454","300","7,343","$ 213,215,272,158","$ 249,937,273,917","$ 722,945,325","5.25%","Estudios"
"2024 Dec 31 12:00:00 AM","CORDOBA","21,927","1,156","784","23,867","$ 587,253,887,824","$ 688,800,772,837","$ 2,095,977,460","4.87%","Estudios"
"2024 Dec 31 12:00:00 AM","SUCRE","15,108","911","678","16,697","$ 420,421,758,489","$ 498,290,442,317","$ 1,677,200,709","4.45%","Estudios"
"2024 Dec 31 12:00:00 AM","GUAINIA","26","2","0","28","$ 718,363,915","$ 859,782,549","$ 4,265,818","3.92%","Estudios"
"2024 Dec 31 12:00:00 AM","VAUPES","19","3","0","22","$ 431,058,612","$ 485,545,481","$ 438,755","3.29%","Estudios"
"2024 Dec 31 12:00:00 AM","EXTRANJERO","26","0","0","26","$ 4,089,433,503","$ 5,049,645,989","$ 0","0%","Estudios"
"2024 Dec 31 12:00:00 AM","Sin Informacion","2","0","0","2","$ 139,823,600","$ 143,937,337","$ 0","0%","Estudios"
"2025 Mar 31 12:00:00 AM","VICHADA","22","12","7","41","$ 689,669,012","$ 738,061,206","$ 32,529,242","47.93%","Amortizacion"
"2025 Mar 31 12:00:00 AM","CHOCO","115","44","52","211","$ 4,814,188,524","$ 5,157,733,285","$ 274,127,386","37.94%","Amortizacion"
"2025 Mar 31 12:00:00 AM","SUCRE","5,724","2,325","2,855","10,904","$ 208,960,613,308","$ 226,254,694,277","$ 10,787,930,532","36.51%","Amortizacion"
"2025 Mar 31 12:00:00 AM","CORDOBA","6,538","2,679","2,800","12,017","$ 260,116,800,516","$ 280,255,523,733","$ 11,218,858,696","33.24%","Amortizacion"
"2025 Mar 31 12:00:00 AM","MAGDALENA","2,054","820","860","3,734","$ 84,556,277,124","$ 91,028,455,809","$ 3,920,615,606","33.06%","Amortizacion"
"2025 Mar 31 12:00:00 AM","BOLIVAR","5,683","2,175","2,272","10,130","$ 209,881,308,614","$ 226,528,279,073","$ 9,376,920,177","32.81%","Amortizacion"
"2025 Mar 31 12:00:00 AM","SANANDRES","109","54","41","204","$ 3,932,522,678","$ 4,269,531,287","$ 190,011,841","32.41%","Amortizacion"
"2025 Mar 31 12:00:00 AM","LAGUAJIRA","1,146","508","480","2,134","$ 61,584,219,807","$ 66,609,629,864","$ 2,842,539,651","31.93%","Amortizacion"
"2025 Mar 31 12:00:00 AM","VAUPES","6","3","5","14","$ 338,765,218","$ 360,597,265","$ 28,831,252","30.77%","Amortizacion"
"2025 Mar 31 12:00:00 AM","ARAUCA","816","331","236","1,383","$ 21,534,297,078","$ 23,057,723,691","$ 932,380,823","30.36%","Amortizacion"
"2025 Mar 31 12:00:00 AM","ATLANTICO","12,057","4,416","3,951","20,424","$ 547,331,913,513","$ 585,999,041,917","$ 20,854,829,477","28.9%","Amortizacion"
"2025 Mar 31 12:00:00 AM","CESAR","1,585","606","574","2,765","$ 64,928,466,971","$ 69,542,568,422","$ 2,716,878,116","28.67%","Amortizacion"
"2025 Mar 31 12:00:00 AM","CASANARE","1,519","568","373","2,460","$ 43,512,632,285","$ 46,892,929,031","$ 1,519,988,705","26.96%","Amortizacion"
"2025 Mar 31 12:00:00 AM","PUTUMAYO","1,016","387","241","1,644","$ 22,476,467,647","$ 24,316,304,819","$ 811,675,803","24.95%","Amortizacion"
"2025 Mar 31 12:00:00 AM","AMAZONAS","92","40","26","158","$ 3,118,287,278","$ 3,358,442,655","$ 116,285,720","24.26%","Amortizacion"
"2025 Mar 31 12:00:00 AM","META","2,423","741","568","3,732","$ 74,084,528,906","$ 78,527,190,184","$ 2,590,578,142","24.23%","Amortizacion"
"2025 Mar 31 12:00:00 AM","NORTEDESANTANDER","2,825","988","711","4,524","$ 84,849,064,061","$ 90,784,510,060","$ 2,944,742,225","23.63%","Amortizacion"
"2025 Mar 31 12:00:00 AM","CAQUETA","670","225","118","1,013","$ 13,139,887,899","$ 13,894,573,590","$ 407,696,048","22.55%","Amortizacion"
"2025 Mar 31 12:00:00 AM","BOYACA","3,671","1,152","703","5,526","$ 122,940,043,787","$ 131,848,971,501","$ 3,568,363,607","21.76%","Amortizacion"
"2025 Mar 31 12:00:00 AM","CAUCA","2,512","807","486","3,805","$ 52,263,126,195","$ 55,977,566,413","$ 1,738,392,895","21.62%","Amortizacion"
"2025 Mar 31 12:00:00 AM","TOLIMA","3,139","957","567","4,663","$ 80,248,512,104","$ 85,162,485,328","$ 2,410,525,291","20.24%","Amortizacion"
"2025 Mar 31 12:00:00 AM","GUAVIARE","218","73","40","331","$ 4,938,253,642","$ 5,205,457,442","$ 158,113,261","19.74%","Amortizacion"
"2025 Mar 31 12:00:00 AM","HUILA","2,272","647","403","3,322","$ 58,937,963,339","$ 63,270,961,134","$ 1,790,908,729","19.72%","Amortizacion"
